instance_num,pay,change,cost_so_far,AUC_holdout,full_AUC,subset_AUC,updated_label,batch,repetition
310,0.14,0,48.1000000000001,0.984090164166603,0.695177694075514,-0.0114766460539096,level2,31,1
320,0.14,0,49.5000000000001,0.981824460027975,0.709105641104275,-0.0152635295088832,level1,32,1
320,0.14,0,49.5000000000001,0.981824460027975,0.709105641104275,0.00458598080668005,level1,32,1
320,0.14,0,49.5000000000001,0.981824460027975,0.709105641104275,-0.00927448544183862,level1,32,1
330,0.14,0,50.9000000000001,0.985773846375885,0.723452922790675,-0.00856093620197973,level2,33,1
330,0.14,0,50.9000000000001,0.985773846375885,0.723452922790675,0.00757071049426095,level2,33,1
330,0.14,0,50.9000000000001,0.985773846375885,0.723452922790675,-0.00026618331512418,level2,33,1
10,0.25,0,2.5,0.812634664292123,NA,NA,level1,1,2
20,0.02,1,2.7,0.602580629928697,NA,NA,level2,2,2
30,0.25,0,5.2,0.818088357314877,NA,NA,level1,3,2
40,0.25,0,7.7,0.70673743077058,NA,NA,level1,4,2
50,0.25,0,10.2,0.748434622467772,NA,NA,level1,5,2
60,0.25,1,12.7,0.814015542468581,NA,NA,level2,6,2
70,0.14,0,14.1,0.877978467204987,NA,NA,level1,7,2
80,0.02,0,14.3,0.89697886521091,NA,NA,level2,8,2
90,0.02,0,14.5,0.865051369747502,NA,NA,level2,9,2
100,0.02,1,14.7,0.856577216521968,NA,NA,level2,10,2
110,0.25,0,17.2,0.892614629078718,NA,NA,level2,11,2
120,0.02,0,17.4,0.888271979708444,NA,NA,level1,12,2
130,0.25,0,19.9,0.893850808491693,NA,NA,level2,13,2
140,0.25,0,22.4,0.907393465957002,NA,NA,level1,14,2
150,0.14,0,23.8,0.91897105350144,NA,NA,level2,15,2
160,0.25,0,26.3,0.905796045575051,NA,NA,level2,16,2
170,0.14,0,27.7,0.927377410802825,NA,NA,level1,17,2
180,0.25,1,30.2,0.915429138081072,NA,NA,level2,18,2
190,0.25,0,32.7,0.904863767294707,NA,NA,level2,19,2
200,0.02,0,32.9,0.928468891452317,NA,NA,level2,20,2
210,0.25,0,35.4,0.931856663900863,NA,NA,level2,21,2
220,0.25,0,37.9,0.943364769055377,NA,NA,level1,22,2
230,0.14,0,39.3,0.940242109026639,NA,NA,level2,23,2
240,0.14,0,40.7,0.959806798480832,NA,NA,level1,24,2
250,0.02,0,40.9000000000001,0.95562368877286,NA,NA,level1,25,2
260,0.14,0,42.3000000000001,0.964544755428734,NA,NA,level2,26,2
270,0.02,1,42.5000000000001,0.960055720829201,NA,NA,level1,27,2
280,0.14,0,43.9000000000001,0.971051814974467,NA,NA,level2,28,2
290,0.14,0,45.3000000000001,0.972532531924797,NA,NA,level2,29,2
300,0.02,0,45.5000000000002,0.971619816647441,NA,NA,level1,30,2
310,0.14,0,46.9000000000002,0.976673817281552,0.741991314714513,-0.00256893930719793,level1,31,2
310,0.14,0,46.9000000000002,0.976673817281552,0.741991314714513,0.0105542688533105,level1,31,2
310,0.14,0,46.9000000000002,0.976673817281552,0.741991314714513,0.00615296113335506,level1,31,2
320,0.14,0,48.3000000000002,0.985270407922342,0.746101870806557,-0.0053876038214471,level2,32,2
320,0.14,0,48.3000000000002,0.985270407922342,0.746101870806557,0.00951431603484865,level2,32,2
320,0.14,0,48.3000000000002,0.985270407922342,0.746101870806557,0.00228746109524769,level2,32,2
330,0.14,0,49.7000000000002,0.988540802352957,0.753819999379767,-0.00454520357763466,level2,33,2
330,0.14,0,49.7000000000002,0.988540802352957,0.753819999379767,0.0132383672988433,level2,33,2
330,0.14,0,49.7000000000002,0.988540802352957,0.753819999379767,0.0109644367023768,level2,33,2
340,0.14,0,51.1000000000002,0.990381411099643,0.753272833226694,-0.000764211555554395,level2,34,2
340,0.14,0,51.1000000000002,0.990381411099643,0.753272833226694,0.00382247585879525,level2,34,2
340,0.14,0,51.1000000000002,0.990381411099643,0.753272833226694,0.00623705791331219,level2,34,2
